from_date,title,count
1985-02-01,Senior Engineer,1
1985-02-01,Senior Staff,1
1985-02-02,Senior Engineer,7
1985-02-02,Senior Staff,8
1985-02-02,Technique Leader,3
1985-02-03,Engineer,1
1985-02-03,Senior Engineer,5
1985-02-03,Senior Staff,6
1985-02-03,Technique Leader,1
1985-02-04,Engineer,5
1985-02-04,Senior Engineer,3
1985-02-04,Senior Staff,3
1985-02-04,Staff,2
1985-02-04,Technique Leader,2
1985-02-05,Engineer,2
1985-02-05,Senior Engineer,8
1985-02-05,Senior Staff,4
1985-02-05,Staff,3
1985-02-05,Technique Leader,1
1985-02-06,Senior Engineer,2
1985-02-06,Senior Staff,4
1985-02-06,Staff,3
1985-02-06,Technique Leader,2
1985-02-07,Engineer,5
1985-02-07,Senior Engineer,3
1985-02-07,Senior Staff,4
1985-02-07,Technique Leader,7
1985-02-08,Assistant Engineer,1
1985-02-08,Engineer,1
1985-02-08,Senior Engineer,6
1985-02-08,Senior Staff,4
1985-02-08,Staff,1
1985-02-08,Technique Leader,3
1985-02-09,Assistant Engineer,1
1985-02-09,Engineer,1
1985-02-09,Senior Engineer,9
1985-02-09,Senior Staff,2
1985-02-09,Staff,2
1985-02-09,Technique Leader,3
1985-02-10,Engineer,3
1985-02-10,Senior Engineer,9
1985-02-10,Senior Staff,2
1985-02-10,Staff,1
1985-02-10,Technique Leader,2
1985-02-11,Senior Engineer,7
1985-02-11,Senior Staff,4
1985-02-11,Technique Leader,2
1985-02-12,Engineer,3
1985-02-12,Senior Engineer,4
1985-02-12,Senior Staff,5
1985-02-12,Technique Leader,4
1985-02-13,Engineer,1
1985-02-13,Senior Engineer,4
1985-02-13,Senior Staff,7
1985-02-13,Technique Leader,6
1985-02-14,Engineer,1
1985-02-14,Senior Engineer,5
1985-02-14,Senior Staff,7
1985-02-14,Staff,2
1985-02-14,Technique Leader,1
1985-02-15,Engineer,4
1985-02-15,Senior Engineer,7
1985-02-15,Senior Staff,3
1985-02-15,Technique Leader,3
1985-02-16,Senior Engineer,9
1985-02-16,Senior Staff,3
1985-02-16,Staff,3
1985-02-16,Technique Leader,3
1985-02-17,Engineer,2
1985-02-17,Senior Engineer,3
1985-02-17,Senior Staff,7
1985-02-17,Staff,1
1985-02-18,Assistant Engineer,1
1985-02-18,Senior Engineer,4
1985-02-18,Senior Staff,6
1985-02-18,Staff,1
1985-02-18,Technique Leader,3
1985-02-19,Engineer,3
1985-02-19,Senior Engineer,4
1985-02-19,Senior Staff,6
1985-02-19,Staff,1
1985-02-19,Technique Leader,2
1985-02-20,Engineer,1
1985-02-20,Senior Engineer,2
1985-02-20,Senior Staff,4
1985-02-20,Staff,3
1985-02-20,Technique Leader,3
1985-02-21,Engineer,2
1985-02-21,Senior Engineer,7
1985-02-21,Senior Staff,5
1985-02-21,Technique Leader,3
1985-02-22,Senior Engineer,6
1985-02-22,Senior Staff,5
1985-02-22,Staff,4
1985-02-22,Technique Leader,6
1985-02-23,Engineer,2
1985-02-23,Senior Engineer,5
1985-02-23,Senior Staff,4
1985-02-23,Staff,1
1985-02-23,Technique Leader,1
1985-02-24,Engineer,5
1985-02-24,Senior Engineer,8
1985-02-24,Senior Staff,7
1985-02-24,Staff,1
1985-02-24,Technique Leader,2
1985-02-25,Engineer,3
1985-02-25,Senior Engineer,4
1985-02-25,Senior Staff,7
1985-02-25,Staff,5
1985-02-26,Assistant Engineer,1
1985-02-26,Engineer,2
1985-02-26,Senior Engineer,6
1985-02-26,Senior Staff,4
1985-02-26,Staff,1
1985-02-26,Technique Leader,2
1985-02-27,Engineer,1
1985-02-27,Senior Engineer,9
1985-02-27,Senior Staff,12
1985-02-27,Staff,3
1985-02-27,Technique Leader,1
1985-02-28,Engineer,1
1985-02-28,Senior Engineer,6
1985-02-28,Senior Staff,5
1985-02-28,Staff,2
1985-03-01,Engineer,2
1985-03-01,Senior Engineer,4
1985-03-01,Senior Staff,6
